#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"J. v. Nieuwenhoven";"PvdA";"G. d. Jong";"CDA";"1996.12.12";"http://polidocs.nl/XML/MOT/1845218.xml"
"J. v. Nieuwenhoven";"PvdA";"A.L.E.C. v.d. Stoel";"VVD";"1996.12.12";"http://polidocs.nl/XML/MOT/1845218.xml"
"J. v. Nieuwenhoven";"PvdA";"A.D. Bakker";"D66";"1996.12.12";"http://polidocs.nl/XML/MOT/1845218.xml"
"M.J.C. Worrell";"PvdA";"W.J. Deetman";"CDA";"1980.10.06";"http://polidocs.nl/XML/MOT/1969891.xml"
"M.J.C. Worrell";"PvdA";"Ch. Mertens";"D66";"1980.10.06";"http://polidocs.nl/XML/MOT/1969891.xml"
"M.J.C. Worrell";"PvdA";"M.J. Konings";"PvdA";"1980.10.06";"http://polidocs.nl/XML/MOT/1969891.xml"
"C.B. Aptroot";"VVD";"A.D. Bakker";"D66";"2005.09.13";"http://polidocs.nl/XML/MOT/2063493.xml"
"J. Reitsma";"CDA";"W.J. v. Gelder";"PvdA";"1990.01.17";"http://polidocs.nl/XML/MOT/1895856.xml"
"J. Reitsma";"CDA";"W.G.J.M. v.d. Camp";"CDA";"1990.01.17";"http://polidocs.nl/XML/MOT/1895856.xml"
"C.C.M. Vendrik";"GL";"E. Irrgang";"SP";"2007.04.05";"http://polidocs.nl/XML/MOT/6004306.xml"
"C.C.M. Vendrik";"GL";"E. Ouwehand";"PVDD";"2007.04.05";"http://polidocs.nl/XML/MOT/6004306.xml"
"D.J. Stellingwerf";"RPF";"B.J. v.d. Vlies";"SGP";"1995.10.12";"http://polidocs.nl/XML/MOT/1854116.xml"
"D.J. Stellingwerf";"RPF";"M.B. Vos";"GL";"1995.10.12";"http://polidocs.nl/XML/MOT/1854116.xml"
"D.J. Stellingwerf";"RPF";"E. v. Middelkoop";"GPV";"1995.10.12";"http://polidocs.nl/XML/MOT/1854116.xml"
"D. Eisma";"D66";"A.J. Schimmel";"D66";"1990.12.11";"http://polidocs.nl/XML/MOT/1880373.xml"
"D. Eisma";"D66";"L.S. Groenman";"D66";"1990.12.11";"http://polidocs.nl/XML/MOT/1880373.xml"
"E.D.C.M. Lambrechts";"D66";"M.I. Hamer";"PvdA";"2006.03.15";"http://polidocs.nl/XML/MOT/5721989.xml"
"K. v. Velzen";"SP";"H.E. Waalkens";"PvdA";"2005.12.15";"http://polidocs.nl/XML/MOT/5669232.xml"
"K. v. Velzen";"SP";"B. v.d. Ham";"D66";"2005.12.15";"http://polidocs.nl/XML/MOT/5669232.xml"
"K. v. Velzen";"SP";"M.B. Vos";"GL";"2005.12.15";"http://polidocs.nl/XML/MOT/5669232.xml"
"K. v. Velzen";"SP";"W. v.d. Brink";"LPF";"2005.12.15";"http://polidocs.nl/XML/MOT/5669232.xml"
"H. Koetje";"CDA";"D.W. d. Cloe";"PvdA";"1993.11.10";"http://polidocs.nl/XML/MOT/1887277.xml"
"H. Koetje";"CDA";"A. Jorritsma-Lebbink";"VVD";"1993.11.10";"http://polidocs.nl/XML/MOT/1887277.xml"
"H. Koetje";"CDA";"O. Scheltema-d. Nie";"D66";"1993.11.10";"http://polidocs.nl/XML/MOT/1887277.xml"
"H. Koetje";"CDA";"P.A. Lankhorst";"GL";"1993.11.10";"http://polidocs.nl/XML/MOT/1887277.xml"
