#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"R. v. Gijzel";"PvdA";"J.M.L. Niederer";"VVD";"1999.11.04";"http://polidocs.nl/XML/MOT/1817941.xml"
"R. v. Gijzel";"PvdA";"F.C. Giskes";"D66";"1999.11.04";"http://polidocs.nl/XML/MOT/1817941.xml"
"R. v. Gijzel";"PvdA";"G.B.M. Leers";"CDA";"1999.11.04";"http://polidocs.nl/XML/MOT/1817941.xml"
"J.R.V.A. Dijsselbloem";"PvdA";"J.M.A.M. d. Wit";"SP";"2003.10.09";"http://polidocs.nl/XML/MOT/2033995.xml"
"J.R.V.A. Dijsselbloem";"PvdA";"M.B. Vos";"GL";"2003.10.09";"http://polidocs.nl/XML/MOT/2033995.xml"
"E. v. Thijn";"PvdA";"M.W. Schakel";"CDA";"1978.11.15";"http://polidocs.nl/XML/MOT/1988675.xml"
"E. v. Thijn";"PvdA";"H.J. Zeevalking";"D66";"1978.11.15";"http://polidocs.nl/XML/MOT/1988675.xml"
"E. v. Thijn";"PvdA";"J.L.A. Jansen";"PPR";"1978.11.15";"http://polidocs.nl/XML/MOT/1988675.xml"
"E. v. Thijn";"PvdA";"H. v. Rossum";"SGP";"1978.11.15";"http://polidocs.nl/XML/MOT/1988675.xml"
"S. Langedijk-d. Jong";"PvdA";"M.J.C. Worrell";"PvdA";"1978.06.29";"http://polidocs.nl/XML/MOT/1991911.xml"
"E. Ouwehand";"PVDD";"H.J. Polderman";"SP";"2008.01.29";"http://polidocs.nl/XML/MOT/6274462.xml"
"W.J. Willems";"GL";"O. Scheltema-d. Nie";"D66";"1993.04.28";"http://polidocs.nl/XML/MOT/1891285.xml"
"F.W.C. Castricum";"PvdA";"H. Rienks";"PvdA";"1983.11.03";"http://polidocs.nl/XML/MOT/1938447.xml"
"A. Apostolou";"PvdA";"M.W.C. Udo";"VVD";"1999.09.29";"http://polidocs.nl/XML/MOT/1829185.xml"
"A. Apostolou";"PvdA";"S. Buijs";"CDA";"1999.09.29";"http://polidocs.nl/XML/MOT/1829185.xml"
"A. Apostolou";"PvdA";"O. Scheltema-d. Nie";"D66";"1999.09.29";"http://polidocs.nl/XML/MOT/1829185.xml"
"A. Apostolou";"PvdA";"C. Hermann";"GL";"1999.09.29";"http://polidocs.nl/XML/MOT/1829185.xml"
"J. Kohnstamm";"D66";"M.J. d. Visser";"PvdA";"1988.04.27";"http://polidocs.nl/XML/MOT/1900350.xml"
"F. Bolkestein";"VVD";"H.F. Dijkstal";"VVD";"1987.05.20";"http://polidocs.nl/XML/MOT/1906598.xml"
"F. Bolkestein";"VVD";"A.H. Korthals";"VVD";"1987.05.20";"http://polidocs.nl/XML/MOT/1906598.xml"
"F. Bolkestein";"VVD";"J.J.C. Voorhoeve";"VVD";"1987.05.20";"http://polidocs.nl/XML/MOT/1906598.xml"
"F. Bolkestein";"VVD";"F.W. Weisglas";"VVD";"1987.05.20";"http://polidocs.nl/XML/MOT/1906598.xml"
"L.H.G. Platvoet";"GL";"E.C.M. Jurgens";"PvdA";"2003.06.17";"http://polidocs.nl/XML/MOT/2031947.xml"
"L.H.G. Platvoet";"GL";"J. Kohnstamm";"D66";"2003.06.17";"http://polidocs.nl/XML/MOT/2031947.xml"
"L.H.G. Platvoet";"GL";"M.J.M. Kox";"SP";"2003.06.17";"http://polidocs.nl/XML/MOT/2031947.xml"
"E.D.C.M. Lambrechts";"D66";"W. v. Gent";"GL";"2002.09.24";"http://polidocs.nl/XML/MOT/2020986.xml"
"E.D.C.M. Lambrechts";"D66";"P. d. Ruiter";"SP";"2002.09.24";"http://polidocs.nl/XML/MOT/2020986.xml"
"D.K.J. Tommel";"D66";"H. Veldhoen";"PvdA";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"D.K.J. Tommel";"D66";"M.G.H.C. Oomen-Ruijten";"CDA";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"D.K.J. Tommel";"D66";"R. Braams";"VVD";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"D.K.J. Tommel";"D66";"M. Ernsting";"CPN";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"D.K.J. Tommel";"D66";"W.J. Willems";"PSP";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"D.K.J. Tommel";"D66";"B.J. v.d. Vlies";"SGP";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"D.K.J. Tommel";"D66";"G.J. Schutte";"GPV";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"D.K.J. Tommel";"D66";"S.J.M. Dijkman";"PPR";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"D.K.J. Tommel";"D66";"C. Ubels-Veen";"EVP";"1985.10.30";"http://polidocs.nl/XML/MOT/1914899.xml"
"A.C. Kant";"SP";"S. Buijs";"CDA";"2002.07.03";"http://polidocs.nl/XML/MOT/2019280.xml"
"A.C. Kant";"SP";"K. Arib";"PvdA";"2002.07.03";"http://polidocs.nl/XML/MOT/2019280.xml"
"A.C. Kant";"SP";"E.H. Tonkens";"GL";"2002.07.03";"http://polidocs.nl/XML/MOT/2019280.xml"
"P.R. Stoffelen";"PvdA";"E. Nypels";"D66";"1978.12.18";"http://polidocs.nl/XML/MOT/2000317.xml"
"P.R. Stoffelen";"PvdA";"R.E.F.M. Nijhof";"DS70";"1978.12.18";"http://polidocs.nl/XML/MOT/2000317.xml"
"P.R. Stoffelen";"PvdA";"J.T. Vellenga";"PvdA";"1978.12.18";"http://polidocs.nl/XML/MOT/2000317.xml"
"J.G.H. Krajenbrink";"CDA";"E.C.M. Jurgens";"PvdA";"1991.10.31";"http://polidocs.nl/XML/MOT/1876259.xml"
"E.P. Woltjer";"PvdA";"L. Sipkes";"GL";"1997.03.05";"http://polidocs.nl/XML/MOT/1842510.xml"
"E.P. Woltjer";"PvdA";"B.R.A. v.d. Bos";"D66";"1997.03.05";"http://polidocs.nl/XML/MOT/1842510.xml"
"E.P. Woltjer";"PvdA";"P.R.H.M. v.d. Linden";"CDA";"1997.03.05";"http://polidocs.nl/XML/MOT/1842510.xml"
"A.P.W. Melkert";"PvdA";"F.W.C. Castricum";"PvdA";"1987.12.02";"http://polidocs.nl/XML/MOT/1901823.xml"
"H. Rienks";"PvdA";"J.J. Lambers-Hacquebard";"D66";"1980.02.18";"http://polidocs.nl/XML/MOT/1999494.xml"
"H. Rienks";"PvdA";"J.L.A. Jansen";"PPR";"1980.02.18";"http://polidocs.nl/XML/MOT/1999494.xml"
"A.C. Kant";"SP";"J.C. Huizinga-Heringa";"CU";"2005.03.03";"http://polidocs.nl/XML/MOT/2057343.xml"
"A.C. Kant";"SP";"E.D.C.M. Lambrechts";"D66";"2005.03.03";"http://polidocs.nl/XML/MOT/2057343.xml"
"A.C. Kant";"SP";"G.M. v. Heteren";"PvdA";"2005.03.03";"http://polidocs.nl/XML/MOT/2057343.xml"
"A.C. Kant";"SP";"E.H. Tonkens";"GL";"2005.03.03";"http://polidocs.nl/XML/MOT/2057343.xml"
"A.C. Kant";"SP";"H.P.A. Nawijn";"LPF";"2005.03.03";"http://polidocs.nl/XML/MOT/2057343.xml"
"A.C. Kant";"SP";"A. Lazrak";"GLAZ";"2005.03.03";"http://polidocs.nl/XML/MOT/2057343.xml"
"F.W.C. Castricum";"PvdA";"G.J. Wolffensperger";"D66";"1988.06.30";"http://polidocs.nl/XML/MOT/1897080.xml"
"A.M.C. Eijsink";"PvdA";"R.W. Knops";"CDA";"2007.12.04";"http://polidocs.nl/XML/MOT/6216279.xml"
"P.H. Hofstra";"VVD";"J.C. Verdaas";"PvdA";"2006.10.30";"http://polidocs.nl/XML/MOT/5895224.xml"
"P.H. Hofstra";"VVD";"B. v.d. Ham";"D66";"2006.10.30";"http://polidocs.nl/XML/MOT/5895224.xml"
"P.H. Hofstra";"VVD";"A. Slob";"CU";"2006.10.30";"http://polidocs.nl/XML/MOT/5895224.xml"
"P.H. Hofstra";"VVD";"M.J.L.M. Hermans";"LPF";"2006.10.30";"http://polidocs.nl/XML/MOT/5895224.xml"
"G.J.W. v. Oven";"PvdA";"B.O. Dittrich";"D66";"2001.03.13";"http://polidocs.nl/XML/MOT/1823229.xml"
"G.J.W. v. Oven";"PvdA";"M. Rabbae";"GL";"2001.03.13";"http://polidocs.nl/XML/MOT/1823229.xml"
"H.J. Schartman";"CDA";"J.F.B. v. Rey";"VVD";"1986.09.04";"http://polidocs.nl/XML/MOT/1917390.xml"
"H.J. Schartman";"CDA";"G.J. Schutte";"GPV";"1986.09.04";"http://polidocs.nl/XML/MOT/1917390.xml"
"H.J. Schartman";"CDA";"C.N. v. Dis";"SGP";"1986.09.04";"http://polidocs.nl/XML/MOT/1917390.xml"
"B.O. Dittrich";"D66";"L. Sipkes";"GL";"1995.11.16";"http://polidocs.nl/XML/MOT/1853870.xml"
"B.O. Dittrich";"D66";"L.E.C. Boogaard";"GrNij";"1995.11.16";"http://polidocs.nl/XML/MOT/1853870.xml"
"B.O. Dittrich";"D66";"J.T. v.d. Berg";"SGP";"1995.11.16";"http://polidocs.nl/XML/MOT/1853870.xml"
"B.O. Dittrich";"D66";"G.J. Schutte";"GPV";"1995.11.16";"http://polidocs.nl/XML/MOT/1853870.xml"
"B.O. Dittrich";"D66";"M.H.J. Soutendijk-v. Appeldoorn";"CDA";"1995.11.16";"http://polidocs.nl/XML/MOT/1853870.xml"
"N. Rempt-Halmmans d. Jongh";"VVD";"J. v. Nieuwenhoven";"PvdA";"1985.12.02";"http://polidocs.nl/XML/MOT/1916045.xml"
"N. Rempt-Halmmans d. Jongh";"VVD";"C.H. Evenhuis-v. Essen";"CDA";"1985.12.02";"http://polidocs.nl/XML/MOT/1916045.xml"
"N. Rempt-Halmmans d. Jongh";"VVD";"L.S. Groenman";"D66";"1985.12.02";"http://polidocs.nl/XML/MOT/1916045.xml"
"F. Karimi";"GL";"H. v. Bommel";"SP";"2005.11.08";"http://polidocs.nl/XML/MOT/5572788.xml"
"P. d. Krom";"VVD";"J.W.E. Spies";"CDA";"2006.10.12";"http://polidocs.nl/XML/MOT/5864236.xml"
"H.E. Waalkens";"PvdA";"E.A. Cramer";"CU";"2008.02.04";"http://polidocs.nl/XML/MOT/6287558.xml"
"A. v.d. Hek";"PvdA";"J.C.Th. v.d. Doef";"PvdA";"1979.03.01";"http://polidocs.nl/XML/MOT/2003641.xml"
"A. v.d. Hek";"PvdA";"J.C. Kombrink";"PvdA";"1979.03.01";"http://polidocs.nl/XML/MOT/2003641.xml"
"A. v.d. Hek";"PvdA";"M. Epema-Brugman";"PvdA";"1979.03.01";"http://polidocs.nl/XML/MOT/2003641.xml"
"S. Buijs";"CDA";"A. v.d. Hoek";"PvdA";"2002.04.03";"http://polidocs.nl/XML/MOT/2017303.xml"
"S. Buijs";"CDA";"C. Hermann";"GL";"2002.04.03";"http://polidocs.nl/XML/MOT/2017303.xml"
"S. Buijs";"CDA";"B.J. v.d. Vlies";"SGP";"2002.04.03";"http://polidocs.nl/XML/MOT/2017303.xml"
"S. Buijs";"CDA";"A. Rouvoet";"CU";"2002.04.03";"http://polidocs.nl/XML/MOT/2017303.xml"
"S. Buijs";"CDA";"A.C. Kant";"SP";"2002.04.03";"http://polidocs.nl/XML/MOT/2017303.xml"
"F.C.G.M. Timmermans";"PvdA";"M.J.M. Verhagen";"CDA";"2005.11.15";"http://polidocs.nl/XML/MOT/5637017.xml"
"F.C.G.M. Timmermans";"PvdA";"F. Karimi";"GL";"2005.11.15";"http://polidocs.nl/XML/MOT/5637017.xml"
"F.C.G.M. Timmermans";"PvdA";"B.O. Dittrich";"D66";"2005.11.15";"http://polidocs.nl/XML/MOT/5637017.xml"
"F.C.G.M. Timmermans";"PvdA";"L.W.S.A.L.B. v.d. Laan";"D66";"2003.06.10";"http://polidocs.nl/XML/MOT/2030887.xml"
"A.H.J.W. v. Schijndel";"GVSCH";"M. Herben";"LPF";"2006.09.14";"http://polidocs.nl/XML/MOT/5837147.xml"
"A.H.J.W. v. Schijndel";"GVSCH";"A. Rouvoet";"CU";"2006.09.14";"http://polidocs.nl/XML/MOT/5837147.xml"
"J.M. Verspaget";"PvdA";"D. Eisma";"D66";"1988.06.20";"http://polidocs.nl/XML/MOT/1899813.xml"
"J.M. Verspaget";"PvdA";"M.B.C. Beckers-d. Bruijn";"PPR";"1988.06.20";"http://polidocs.nl/XML/MOT/1899813.xml"
"J.M. Verspaget";"PvdA";"G.J. Schutte";"GPV";"1988.06.20";"http://polidocs.nl/XML/MOT/1899813.xml"
"A.J. Schimmel";"D66";"H.G.J. Kamp";"VVD";"1998.12.10";"http://polidocs.nl/XML/MOT/1825993.xml"
"A.J. Schimmel";"D66";"J.P.C.M. v. Zijl";"PvdA";"1998.12.10";"http://polidocs.nl/XML/MOT/1825993.xml"
"M.A. Müller-v. Ast";"PvdA";"A.G. v.d. Spek";"PSP";"1978.09.25";"http://polidocs.nl/XML/MOT/1994790.xml"
"M.A. Müller-v. Ast";"PvdA";"M.B.C. Beckers-d. Bruijn";"PPR";"1978.09.25";"http://polidocs.nl/XML/MOT/1994790.xml"
"M.A. Müller-v. Ast";"PvdA";"G.M.P. Cornelissen";"CDA";"1978.09.25";"http://polidocs.nl/XML/MOT/1994790.xml"
"M.A. Müller-v. Ast";"PvdA";"E.H.T.M. Nijpels";"VVD";"1978.09.25";"http://polidocs.nl/XML/MOT/1994790.xml"
"F. Karimi";"GL";"A.G. Koenders";"PvdA";"2005.10.06";"http://polidocs.nl/XML/MOT/5474548.xml"
"G. v. Leijenhorst";"CDA";"M. Beinema";"CDA";"1977.06.06";"http://polidocs.nl/XML/MOT/2001958.xml"
"G. v. Leijenhorst";"CDA";"A. Kosto";"PvdA";"1977.06.06";"http://polidocs.nl/XML/MOT/2001958.xml"
"G. v. Leijenhorst";"CDA";"J.J. Voogd";"PvdA";"1977.06.06";"http://polidocs.nl/XML/MOT/2001958.xml"
"W. v. Gent";"GL";"F. Ravestein";"D66";"2001.06.19";"http://polidocs.nl/XML/MOT/1803359.xml"
"D.J. Stellingwerf";"RPF";"J.T. v.d. Berg";"SGP";"1995.10.16";"http://polidocs.nl/XML/MOT/1862433.xml"
"L.H. Kortram";"PvdA";"C.I.J.M. Ross-v. Dorp";"CDA";"2000.02.22";"http://polidocs.nl/XML/MOT/1814229.xml"
"L.H. Kortram";"PvdA";"M. Rabbae";"GL";"2000.02.22";"http://polidocs.nl/XML/MOT/1814229.xml"
"M.J.M. Verhagen";"CDA";"G. Zalm";"VVD";"2002.12.19";"http://polidocs.nl/XML/MOT/2026714.xml"
"M.J.M. Verhagen";"CDA";"F. Halsema";"GL";"2002.12.19";"http://polidocs.nl/XML/MOT/2026714.xml"
"M.J.M. Verhagen";"CDA";"J.M.A.M. d. Wit";"SP";"2002.12.19";"http://polidocs.nl/XML/MOT/2026714.xml"
"M.J.M. Verhagen";"CDA";"B.O. Dittrich";"D66";"2002.12.19";"http://polidocs.nl/XML/MOT/2026714.xml"
"M.J.M. Verhagen";"CDA";"A. Rouvoet";"CU";"2002.12.19";"http://polidocs.nl/XML/MOT/2026714.xml"
"M.J.M. Verhagen";"CDA";"C.G. v.d. Staaij";"SGP";"2002.12.19";"http://polidocs.nl/XML/MOT/2026714.xml"
"M.J.M. Verhagen";"CDA";"F. Teeven";"LN";"2002.12.19";"http://polidocs.nl/XML/MOT/2026714.xml"
"M.J.M. Verhagen";"CDA";"W.J. Bos";"PvdA";"2002.12.19";"http://polidocs.nl/XML/MOT/2026714.xml"
"K. Zijlstra";"PvdA";"J.J. Lambers-Hacquebard";"D66";"1980.10.13";"http://polidocs.nl/XML/MOT/1997608.xml"
"K. Zijlstra";"PvdA";"J.L.A. Jansen";"PPR";"1980.10.13";"http://polidocs.nl/XML/MOT/1997608.xml"
"B. v.d. Ham";"D66";"H. Neppérus";"VVD";"2008.02.27";"http://polidocs.nl/XML/MOT/6307287.xml"
"M.A.M. Wöltgens";"PvdA";"M. Epema-Brugman";"PvdA";"1978.02.13";"http://polidocs.nl/XML/MOT/2000211.xml"
"M.A.M. Wöltgens";"PvdA";"B. Spieker";"PvdA";"1978.02.13";"http://polidocs.nl/XML/MOT/2000211.xml"
"H. Neppérus";"VVD";"B. Madlener";"PVV";"2007.10.09";"http://polidocs.nl/XML/MOT/6161046.xml"
"R. Braams";"VVD";"N.J. Ginjaar-Maas";"VVD";"1981.12.14";"http://polidocs.nl/XML/MOT/1955348.xml"
"A.W. Paulis";"CDA";"M. Zijlstra";"PvdA";"1992.12.15";"http://polidocs.nl/XML/MOT/1869824.xml"
"A. Rouvoet";"RPF";"C.G. v.d. Staaij";"SGP";"1999.09.28";"http://polidocs.nl/XML/MOT/1909729.xml"
"W. Kok";"PvdA";"H.A.F.M.O. v. Mierlo";"D66";"1988.10.13";"http://polidocs.nl/XML/MOT/1895161.xml"
"C. Cörüz";"CDA";"F.W. Weisglas";"VVD";"2001.12.19";"http://polidocs.nl/XML/MOT/2013445.xml"
"J. v. Nieuwenhoven";"PvdA";"S. v. Heemskerck Pillis-Duvekot";"VVD";"1996.12.18";"http://polidocs.nl/XML/MOT/1885859.xml"
"J. v. Nieuwenhoven";"PvdA";"M. Beinema";"CDA";"1996.12.18";"http://polidocs.nl/XML/MOT/1885859.xml"
"J. v. Nieuwenhoven";"PvdA";"E.D.C.M. Lambrechts";"D66";"1996.12.18";"http://polidocs.nl/XML/MOT/1885859.xml"
"J. Rijpstra";"VVD";"J.J. Atsma";"CDA";"2002.11.26";"http://polidocs.nl/XML/MOT/2025136.xml"
"W.J. Deetman";"CDA";"N.J. Ginjaar-Maas";"VVD";"1979.03.22";"http://polidocs.nl/XML/MOT/1985379.xml"
"W.J. Deetman";"CDA";"M.J. Konings";"PvdA";"1979.03.22";"http://polidocs.nl/XML/MOT/1985379.xml"
"W.J. Deetman";"CDA";"Ch. Mertens";"D66";"1979.03.22";"http://polidocs.nl/XML/MOT/1985379.xml"
"J.J. Atsma";"CDA";"J.F. Snijder-Hazelhoff";"VVD";"2007.11.01";"http://polidocs.nl/XML/MOT/6181545.xml"
"J.J.C. Voorhoeve";"VVD";"H.A.F.M.O. v. Mierlo";"D66";"1989.11.30";"http://polidocs.nl/XML/MOT/1890544.xml"
"F. Leijnse";"PvdA";"M.J.C. Worrell";"PvdA";"1985.02.04";"http://polidocs.nl/XML/MOT/1922379.xml"
"K.Y.I.J. Adelmund";"PvdA";"B.M. d. Vries";"VVD";"1995.12.20";"http://polidocs.nl/XML/MOT/1854958.xml"
"P.R. Stoffelen";"PvdA";"C.I. Dales";"PvdA";"1984.11.26";"http://polidocs.nl/XML/MOT/1926160.xml"
"M.J. Augusteijn-Esser";"D66";"J.H. Klein Molekamp";"VVD";"2000.10.19";"http://polidocs.nl/XML/MOT/1807310.xml"
"M.J. Augusteijn-Esser";"D66";"J.J. Feenstra";"PvdA";"2000.10.19";"http://polidocs.nl/XML/MOT/1807310.xml"
"P.R.H.M. v.d. Linden";"CDA";"E. v. Middelkoop";"GPV";"1994.11.02";"http://polidocs.nl/XML/MOT/1861144.xml"
"P.R.H.M. v.d. Linden";"CDA";"B.J. v.d. Vlies";"SGP";"1994.11.02";"http://polidocs.nl/XML/MOT/1861144.xml"
"P.R.H.M. v.d. Linden";"CDA";"D.J. Stellingwerf";"RPF";"1994.11.02";"http://polidocs.nl/XML/MOT/1861144.xml"
"M.B. Engwirda";"D66";"R.W. d. Korte";"VVD";"1980.03.19";"http://polidocs.nl/XML/MOT/1982352.xml"
"J.J. v. Aartsen";"VVD";"M.J.M. Verhagen";"CDA";"2004.04.14";"http://polidocs.nl/XML/MOT/2043986.xml"
"J.J. v. Aartsen";"VVD";"M. Herben";"LPF";"2004.04.14";"http://polidocs.nl/XML/MOT/2043986.xml"
"S.C. Weijers";"CDA";"G. Gerritse";"CDA";"1980.03.27";"http://polidocs.nl/XML/MOT/1973368.xml"
"S.C. Weijers";"CDA";"J. v. Houwelingen";"CDA";"1980.03.27";"http://polidocs.nl/XML/MOT/1973368.xml"
"S.C. Weijers";"CDA";"B. d. Vries";"CDA";"1980.03.27";"http://polidocs.nl/XML/MOT/1973368.xml"
"W.J. Willems";"GL";"O. Scheltema-d. Nie";"D66";"1990.11.12";"http://polidocs.nl/XML/MOT/1892744.xml"
"R.W. d. Korte";"VVD";"J.F.B. v. Rey";"VVD";"1992.12.02";"http://polidocs.nl/XML/MOT/1868637.xml"
"G. Verburg";"CDA";"F.H.H. Weekers";"VVD";"2003.12.10";"http://polidocs.nl/XML/MOT/2037907.xml"
"G. Verburg";"CDA";"A.D. Bakker";"D66";"2003.12.10";"http://polidocs.nl/XML/MOT/2037907.xml"
"J. v.d. Vaart";"PvdA";"A.G.W.J. Lansink";"CDA";"1990.09.13";"http://polidocs.nl/XML/MOT/1890250.xml"
"D.W. d. Cloe";"PvdA";"A. Jorritsma-Lebbink";"VVD";"1990.12.13";"http://polidocs.nl/XML/MOT/1884586.xml"
"D.W. d. Cloe";"PvdA";"A. Nuis";"D66";"1990.12.13";"http://polidocs.nl/XML/MOT/1884586.xml"
"M.B. Vos";"GL";"K. v. Velzen";"SP";"2004.04.21";"http://polidocs.nl/XML/MOT/2043241.xml"
"M.B. Vos";"GL";"H.E. Waalkens";"PvdA";"2004.04.21";"http://polidocs.nl/XML/MOT/2043241.xml"
"A.C. v. Es";"PSP";"J.F. Buurmeijer";"PvdA";"1984.02.13";"http://polidocs.nl/XML/MOT/1971587.xml"
"A.C. v. Es";"PSP";"I. Brouwer";"CPN";"1984.02.13";"http://polidocs.nl/XML/MOT/1971587.xml"
"D. Duinker";"PvdA";"E. Nypels";"D66";"1980.09.04";"http://polidocs.nl/XML/MOT/1969054.xml"
"E. t. Veld";"PvdA";"J.F. Buurmeijer";"PvdA";"1987.11.11";"http://polidocs.nl/XML/MOT/1901659.xml"
"E. t. Veld";"PvdA";"J.G.M. Alders";"PvdA";"1987.11.11";"http://polidocs.nl/XML/MOT/1901659.xml"
"G. Wilders";"VVD";"W.R.C. Sterk";"CDA";"2004.04.28";"http://polidocs.nl/XML/MOT/2043301.xml"
"G. Wilders";"VVD";"H.P.A. Nawijn";"LPF";"2004.04.28";"http://polidocs.nl/XML/MOT/2043301.xml"
"J.L.A. Jansen";"PPR";"S. Langedijk-d. Jong";"PvdA";"1978.11.07";"http://polidocs.nl/XML/MOT/1989347.xml"
"J.L.A. Jansen";"PPR";"J.J. Lambers-Hacquebard";"D66";"1978.11.07";"http://polidocs.nl/XML/MOT/1989347.xml"
"J.L.A. Jansen";"PPR";"M.B.C. Beckers-d. Bruijn";"PPR";"1978.11.07";"http://polidocs.nl/XML/MOT/1989347.xml"
"J.L.A. Jansen";"PPR";"H.J.G. Waltmans";"PPR";"1978.11.07";"http://polidocs.nl/XML/MOT/1989347.xml"
"H. Eversdijk";"CDA";"H. d. Hamer";"PvdA";"1979.10.22";"http://polidocs.nl/XML/MOT/1983071.xml"
"H. Eversdijk";"CDA";"J.F. Scherpenhuizen";"VVD";"1979.10.22";"http://polidocs.nl/XML/MOT/1983071.xml"
"H. Eversdijk";"CDA";"C.N. v. Dis";"SGP";"1979.10.22";"http://polidocs.nl/XML/MOT/1983071.xml"
"H. Eversdijk";"CDA";"J.J. Lambers-Hacquebard";"D66";"1979.10.22";"http://polidocs.nl/XML/MOT/1983071.xml"
"H. Eversdijk";"CDA";"J.L.A. Jansen";"PPR";"1979.10.22";"http://polidocs.nl/XML/MOT/1983071.xml"
"H. Eversdijk";"CDA";"A.G. v.d. Spek";"PSP";"1979.10.22";"http://polidocs.nl/XML/MOT/1983071.xml"
"D.V. Hindriks";"PvdA";"P.J.L. Verbugt";"VVD";"1999.12.13";"http://polidocs.nl/XML/MOT/1813155.xml"
"D.V. Hindriks";"PvdA";"F.C. Giskes";"D66";"1999.12.13";"http://polidocs.nl/XML/MOT/1813155.xml"
"J.J. Atsma";"CDA";"L.P. Middel";"PvdA";"2000.11.30";"http://polidocs.nl/XML/MOT/1807030.xml"
"A. v. Miltenburg";"VVD";"J.C. Smits";"PvdA";"2005.10.13";"http://polidocs.nl/XML/MOT/5480069.xml"
"L. v. Rijn-Vellekoop";"PvdA";"M.J.J. Roosen-v. Pelt";"CDA";"1992.09.24";"http://polidocs.nl/XML/MOT/1889545.xml"
"S. v. Vliet";"D66";"R.H. Oudkerk";"PvdA";"1997.11.17";"http://polidocs.nl/XML/MOT/1832189.xml"
"A.J.W. Duyvendak";"GL";"K. v. Velzen";"SP";"2005.06.30";"http://polidocs.nl/XML/MOT/2062937.xml"
"J. Wallage";"PvdA";"M.B. Engwirda";"D66";"1985.09.19";"http://polidocs.nl/XML/MOT/1943183.xml"
"J. Wallage";"PvdA";"M. Ernsting";"CPN";"1985.09.19";"http://polidocs.nl/XML/MOT/1943183.xml"
"J. Wallage";"PvdA";"A.G. v.d. Spek";"PSP";"1985.09.19";"http://polidocs.nl/XML/MOT/1943183.xml"
"J. Wallage";"PvdA";"M.B.C. Beckers-d. Bruijn";"PPR";"1985.09.19";"http://polidocs.nl/XML/MOT/1943183.xml"
"J. Wallage";"PvdA";"C. Ubels-Veen";"EVP";"1985.09.19";"http://polidocs.nl/XML/MOT/1943183.xml"
"J. Wallage";"PvdA";"J.N. Scholten";"NULL";"1985.09.19";"http://polidocs.nl/XML/MOT/1943183.xml"
"A.C. Kant";"SP";"C.C.M. Vendrik";"GL";"2003.10.08";"http://polidocs.nl/XML/MOT/2033019.xml"
"J.F. Jeekel";"D66";"M.M. v.d. Burg";"PvdA";"1996.01.25";"http://polidocs.nl/XML/MOT/1851264.xml"
"A.J.W. Duyvendak";"GL";"S.A.M. Dijksma";"PvdA";"2006.03.16";"http://polidocs.nl/XML/MOT/5720086.xml"
"A.J.W. Duyvendak";"GL";"A. Slob";"CU";"2006.03.16";"http://polidocs.nl/XML/MOT/5720086.xml"
"A.J.W. Duyvendak";"GL";"C.G. v.d. Staaij";"SGP";"2006.03.16";"http://polidocs.nl/XML/MOT/5720086.xml"
"A.J.W. Duyvendak";"GL";"A.M.V. Gerkens";"SP";"2006.03.16";"http://polidocs.nl/XML/MOT/5720086.xml"
"N.G. v.'t Riet";"D66";"M. Zijlstra";"PvdA";"2000.02.14";"http://polidocs.nl/XML/MOT/1812227.xml"
"N.G. v.'t Riet";"D66";"M. v.d. Doel";"VVD";"2000.02.14";"http://polidocs.nl/XML/MOT/1812227.xml"
"J.J. Atsma";"CDA";"A. Slob";"CU";"2007.11.26";"http://polidocs.nl/XML/MOT/6207910.xml"
"M.J. Augusteijn-Esser";"D66";"P.C.E. v. Wijmen";"CDA";"2001.06.19";"http://polidocs.nl/XML/MOT/1805360.xml"
"M.J. Augusteijn-Esser";"D66";"D.J. Stellingwerf";"CU";"2001.06.19";"http://polidocs.nl/XML/MOT/1805360.xml"
"M.J. Augusteijn-Esser";"D66";"M.B. Vos";"GL";"2001.06.19";"http://polidocs.nl/XML/MOT/1805360.xml"
"G. Verburg";"CDA";"A.D. Bakker";"D66";"2004.02.19";"http://polidocs.nl/XML/MOT/2040804.xml"
"G. Verburg";"CDA";"S.E.A. Noorman-d. Uyl";"PvdA";"2004.02.19";"http://polidocs.nl/XML/MOT/2040804.xml"
"E. Nypels";"D66";"W.A. d. Pree";"PvdA";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
"E. Nypels";"D66";"A.G. v.d. Spek";"PSP";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
"E. Nypels";"D66";"I. Brouwer";"CPN";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
"E. Nypels";"D66";"S.J.M. Dijkman";"CDA";"1983.05.19";"http://polidocs.nl/XML/MOT/1942663.xml"
